train_percentage,mean,std,min,max
5,0.9479520848914621,0.019917558277694637,0.9133546807308345,0.9834243737050292
10,0.9786847497239668,0.01087515574819738,0.9606361829025845,0.9980115331079737
15,0.9916966486912876,0.0034012341599804676,0.9875456302340563,0.9976374570446735
20,0.9957946537892468,0.002160981619312106,0.9917244464325654,0.9977633639006933
